review_id,overall_rating_score,overall_rating_quote,food_score,food_quote,service_score,service_quote,price_score,price_quote,ambiance_score,ambiance_quote
5dIleZpTxKwjRqBercHV1w,0.5,hence the rating,1.0,the food was very authentic and flavorful,1.0,,,,,
LETLlxzUzv4eHkD84jea-Q,4.8,The ordering system is different but effective.,1.0,the biscuits are great (fluffy and delicious),,,,,,
9sXneDy_Oyd-n-bCUz6TLg,-0.5,Late breakfast,-1.0,debris (shredded roast beef in juice) on top of grits with cheese,,,,,,
0tBSNwWA3eMtbBC2PgzQtQ,-1.0,One of the worst meals I have ever eaten,-1.0,Cold dry chicken greens had no flavor cooked in water and no seasoning.,,,,,-1.0,The place was dirty
YMiytO01Ocd6rT-0XWfacQ,-1.0,I just don't get it.,-1.0,the bread was soggy and fell apart,-0.5,,,,,
vbM-THkWu7o2KbFj0u38ug,-0.5,nothing special,-1.0,not spectacular,,,,,,
vYxz_9dlsvTvtxscaQzE2w,1.0,must!,1.0,try the fried shrimp!,1.0,,,,,
khuy3aKkXP7TQzDEezNCYw,1.0,Awesome,1.0,Perfect,1.0,super efficient,,,,
eC2RdN3SF6JDw8Ki-yP5fA,-0.5,LOL,1.0,Pancakes were awesome and grits were fantastical!,,,,,,
E38mqkmYdhBOdtuKgz1sOA,1.0,Mother F'n good!,1.0,Delicious,-0.5,,,,-0.5,
AFNU_ewy4gyz6vA-eckUdg,-0.5,pretty dang good,1.0,pretty dang good,0.5,,,,,
30KC_FE9zy3w9vxkzSc-zg,-0.5,Greatest food or all time.,1.0,You need to have the pecan pie.,,,,,,
n0vJotHYx5YfqdFwXRUl1A,-0.5,Great reputation bland food...,-1.0,fried chicken and catfish (neither seasoned very well),,,,,0.5,Wall of Fame was nice to look at...
rh-2TRV8imhYnAV_1fcO_w,1.0,there is never a panic moment,1.0,very good,1.0,,-1.0,$375 for the egg biscuit,1.0,pictures all over the wall of famous people that have eaten there
HlQ22fPH7XZbJPDt1mfTfg,1.0,OMG! This may be the best sandwich I have ever had.,1.0,So juicy it was running down my arm,,,,,,
fYpVtfrZpuF0kJYwte-GgQ,0.5,good,1.0,"well not really, but there was a lot. And the meat has no gristle or fat.",1.0,"move move move, but good",-1.0,This food is expensive for a counter service restaurant,,
r_x9h07lLy-Cuk5kgKy42A,-0.5,"I'm happy I checked it off the list, but I won't be returning...",-1.0,the omelette was mostly egg and light on that delicious crawfish etouffe/gravy.,,,,,,
A1lZffeOhBAbzwhxTsv1DQ,1.0,excellent,1.0,everything you could hope for,,,,,,
Y7jZwDW1pDHQTTe_V921cA,-1.0,Bland.,-1.0,Bland.,0.5,The staff was attentive and worked to make it a good experience.,,,,
9bino3LdcjUF1W7Ef6MCiQ,1.0,one of the best dining experiences of my life,1.0,"everything is made with fresh, quality ingredients and care",1.0,the staff seems to all be like a family and genuinely nice,,,,
Nh8kI6rm-xqSJQmoKSKSxw,-1.0,handing them a proper set of taste buds,-1.0,gumbo was salty but still flavorless other than that.,-1.0,spoken to so badly or even ignored,,,,
QXyuVGT3DYcQTM74szlMRQ,-1.0,Got sick,-1.0,warm,,,,,,
8G9LFmD2dpYKUt3vIPZUOA,-1.0,THIS PLACE IS GROSS,,,-1.0,the service sucks; it's horribly slow. The waitress kept forgetting some of our orders.,,,-1.0,looks run down
0tSlkEyJAscTXB3-gVJc2w,-0.5,letdown,-1.0,biggest po' boys,,,,,,
E-6yK1WBbsc0p-sW2smrpQ,-0.5,pretty tasty,1.0,which was pretty tasty,,,,,,
8yYiM8lSvyJDMg954EU8Pg,-0.5,Never been a fan of bread pudding but I am now!,1.0,Crawfish Etouffee omelette sounded far fetched but it was good.,1.0,diamond and William are exceptional employees!!,,,,
